    Customer ID,Age,,Income,Household Size,,,Store ID,Order ID,Total Bill,,,,Date,,,Distance to Store,City Population,City GDP,Order Frequency,Average Monthly Sales
605692,37,,82897,3,,,489,86761399,99.17,,,,10-06-2024,,,8.6,1680000,1.5,3,95169
786840,44,,135234,4,,,105,39843905,397.6,,,,05-03-2024,,,10.4,2325500,0.8,2,95808
782708,19,,38584,1,,,119,31563601,371.86,,,,14-02-2024,,,1.3,2325500,1.1,1,148622
463573,29,,130865,5,,,454,8440685,95.38,,,,29-01-2025,,,8.2,1424000,1.1,8,62831
972280,56,,126698,5,,,217,22184473,463.75,,,,21-11-2024,,,26.2,3971000,1.5,2,62845
759741,68,,77428,3,,,335,3772628,73.66,,,,25-10-2024,,,4.5,1680000,1.5,1,139635
597748,40,,102762,6,,,352,24127936,326,,,,16-08-2024,,,1.1,3971000,1.5,3,110374
29290,49,,89617,5,,,487,69891414,147.22,,,,13-08-2024,,,7.3,1680000,0.6,2,151068
936091,31,,128535,4,,,334,73006356,345.37,,,,14-02-2024,,,39.7,1547000,0.8,10,87481
817084,60,,62450,4,,,69,3494473,90.26,,,,06-03-2024,,,18.3,1547000,0.4,1,57422
686704,67,,109428,3,,,413,64383760,89.5,,,,06-03-2024,,,42.1,2716000,0.8,9,175317
493536,56,,82167,4,,,151,71984115,312.57,,,,02-06-2024,,,8.3,950000,0.4,3,138468
924649,55,,110047,3,,,70,82110250,15.2,,,,02-07-2024,,,8.9,950000,0.6,1,143721
662113,45,,146053,5,,,212,27973609,383.5,,,,30-12-2024,,,8.4,1584000,1.5,3,147696
849415,37,,105706,1,,,237,43047894,205.45,,,,18-03-2024,,,40.6,1547000,0.8,2,199514
82257,53,,93007,4,,,217,17736819,406.78,,,,07-10-2024,,,43,2716000,0.8,1,150989
711212,49,,71889,5,,,99,1758365,63.12,,,,19-09-2024,,,36.7,1680000,0.7,3,151800
735730,52,,60096,1,,,484,18080556,46.33,,,,17-03-2024,,,8.6,1584000,0.7,7,85382
85859,49,,121576,3,,,29,55110728,399.36,,,,26-03-2024,,,8.4,950000,0.7,8,190428
783460,53,,137273,3,,,500,84445667,438.34,,,,19-09-2024,,,44.3,2325500,1.5,5,103196
76508,36,,88680,3,,,482,12660083,401.54,,,,18-07-2024,,,6.6,1343000,0.4,3,92467
651271,39,,146756,5,,,173,74657898,409.51,,,,22-07-2024,,,7.1,1584000,0.6,4,118601
229984,44,,54357,2,,,12,54716674,11.64,,,,07-05-2024,,,36.4,1680000,0.8,10,193111
7133,41,,64009,2,,,79,22820968,146.9,,,,04-10-2024,,,4.1,1680000,0.7,3,197500
774446,64,,122737,2,,,108,82280599,25.2,,,,10-07-2024,,,13.7,1424000,0.8,3,163810
257750,20,,137511,2,,,500,85014515,147.43,,,,18-09-2024,,,38.1,950000,0.8,2,151135
251936,63,,97519,3,,,317,12540133,494.95,,,,09-12-2024,,,46.2,8419000,0.7,2,171965
841506,62,,84994,2,,,74,10019208,74.9,,,,21-02-2024,,,45.1,1547000,0.4,5,106927
838683,48,,96616,5,,,214,44285944,65.95,,,,27-11-2024,,,42.7,1343000,0.7,2,184902
452355,34,,63735,6,,,127,50710547,221.98,,,,24-10-2024,,,2.3,1680000,0.9,8,71587
934086,43,,58730,6,,,362,79334318,103.32,,,,17-04-2024,,,8.4,8419000,0.8,2,127473
130065,67,,144158,2,,,251,16798773,16.67,,,,15-06-2024,,,24.4,3971000,0.6,2,127057
81717,68,,117254,3,,,134,4918306,331.81,,,,02-10-2024,,,9.3,1680000,0.8,6,100436
867856,29,,98785,3,,,93,72319324,449.97,,,,27-08-2024,,,2.5,1424000,0.7,7,118709
746433,35,,37164,6,,,296,52529262,421.34,,,,04-02-2024,,,37.8,1680000,0.6,1,83034
40700,30,,134592,5,,,173,51414573,295.88,,,,12-11-2024,,,20.9,1424000,1.1,1,98042
863933,19,,71480,6,,,308,30694557,15.49,,,,18-04-2024,,,2.9,3971000,0.8,9,140914
192363,30,,57139,3,,,106,87145766,176.9,,,,04-09-2024,,,26.6,2325500,0.7,4,84786
362173,53,,78406,5,,,240,84687573,270.57,,,,30-01-2025,,,13.1,8419000,0.8,1,197766
191399,18,,132238,3,,,183,38952746,379.75,,,,16-08-2024,,,7.7,1584000,0.5,3,111172
27924,61,,33628,3,,,324,56948948,158.93,,,,12-11-2024,,,23.3,1547000,1.1,2,114578
874052,45,,131281,1,,,465,2875912,122.94,,,,28-02-2024,,,2.6,950000,0.6,3,193703
938121,70,,42583,2,,,127,78321374,87.12,,,,04-10-2024,,,6.5,1547000,0.9,5,91458
127385,31,,111558,3,,,444,49259871,262.13,,,,05-07-2024,,,40.1,1584000,1.5,1,133695
254295,51,,84592,3,,,200,56313216,36.14,,,,13-08-2024,,,1.5,1343000,0.9,6,199072
734958,40,,41361,6,,,101,92184453,60.56,,,,06-10-2024,,,3.6,2325500,0.6,3,197910
114821,40,,145253,6,,,424,94965148,94.21,,,,16-12-2024,,,1.8,950000,0.7,2,184644
652428,38,,63089,5,,,478,25398915,299.4,,,,03-01-2025,,,9.2,1343000,0.7,1,136576
142662,43,,91201,2,,,68,24276516,106.55,,,,31-01-2025,,,2.4,1680000,0.7,2,124687
387942,33,,109657,6,,,372,57249296,214.36,,,,28-01-2025,,,6.5,950000,0.8,9,128904
640246,36,,84821,5,,,450,60574395,117.63,,,,02-01-2025,,,12.5,3971000,0.9,1,51457
452277,39,,95916,1,,,192,74562681,27.84,,,,07-11-2024,,,29.1,3971000,0.9,1,94086
964629,49,,44677,6,,,208,14548127,435.45,,,,28-12-2024,,,47.7,1424000,0.7,5,73922
709577,69,,80400,1,,,82,58377096,74.49,,,,30-06-2024,,,31.3,2716000,1.1,3,191703
669233,31,,144435,6,,,422,14836301,128.13,,,,28-06-2024,,,46.1,3971000,0.9,2,119567
595348,32,,104616,6,,,52,44414443,476.42,,,,06-07-2024,,,14.2,1547000,1.5,3,79709
510214,50,,85968,6,,,71,83350992,24.89,,,,02-12-2024,,,9.4,950000,0.4,3,85245
136500,50,,90452,4,,,105,61125584,266.9,,,,27-08-2024,,,6.6,1424000,0.5,3,156525
278362,27,,143832,2,,,135,55216640,391.36,,,,03-09-2024,,,6.5,1424000,0.8,3,98477
14680,55,,94013,2,,,268,83996903,191.41,,,,03-04-2024,,,6.4,1584000,1.1,3,109310
491616,69,,81235,6,,,158,56367085,252.75,,,,13-01-2025,,,7.7,3971000,0.6,10,116307
993526,58,,130391,2,,,151,63271634,307.15,,,,10-04-2024,,,6.5,2716000,0.7,1,131139
559994,67,,58358,3,,,63,48611458,217.38,,,,17-08-2024,,,4.4,2325500,0.8,7,190024
401839,34,,141418,1,,,271,97375937,336.2,,,,30-11-2024,,,26.9,1343000,0.7,3,179478
987336,54,,40738,6,,,403,77882192,324.64,,,,18-12-2024,,,12.4,950000,0.8,2,80884
408427,30,,147633,1,,,196,10125586,304.02,,,,05-09-2024,,,7.7,1343000,0.6,3,137155
141393,43,,149552,3,,,228,64403151,185.59,,,,14-05-2024,,,20.1,1343000,1.5,10,157532
932576,59,,57068,3,,,341,3607647,97.24,,,,18-01-2025,,,28,1424000,1.1,2,154045
764153,37,,82887,5,,,170,35390784,81.77,,,,23-02-2024,,,5.9,2716000,0.8,2,85797
207523,37,,68752,5,,,260,8853877,139.04,,,,21-01-2025,,,5.4,2325500,0.6,3,71662
763454,41,,114774,1,,,64,8218514,479.9,,,,15-10-2024,,,33.9,950000,0.9,1,198755
987470,69,,116998,6,,,351,85282844,40.94,,,,18-02-2024,,,40.8,8419000,0.5,3,115044
862153,53,,99221,3,,,34,8154205,57.36,,,,16-09-2024,,,1.6,1547000,0.7,1,140724
959948,65,,73310,5,,,312,43833831,483.8,,,,08-12-2024,,,8.4,1680000,0.9,3,169631
578907,27,,113192,6,,,314,55642713,295.26,,,,18-12-2024,,,24,1680000,0.6,2,175965
216948,61,,91729,2,,,128,31843102,69.8,,,,14-07-2024,,,8.7,3971000,0.4,4,199624
349654,69,,43531,5,,,437,54729417,326.31,,,,29-04-2024,,,16.1,1424000,0.6,1,61173
389473,33,,144924,4,,,376,93106669,26.58,,,,10-04-2024,,,24.4,3971000,0.4,2,159824
579069,47,,36125,5,,,373,48676740,221.31,,,,06-04-2024,,,34.6,1424000,1.1,4,177919
802126,34,,128573,3,,,462,83508633,257.57,,,,14-03-2024,,,25.2,950000,0.8,3,111139
603695,51,,132465,6,,,404,10271821,179.82,,,,25-06-2024,,,4.6,1424000,0.7,10,153686
162954,57,,28304,5,,,465,56954682,365.24,,,,01-04-2024,,,6.1,1343000,0.7,3,92845
192994,64,,96348,1,,,18,11361368,117.12,,,,27-05-2024,,,41.1,1680000,0.5,2,128516
497267,61,,108687,6,,,57,3232215,69.97,,,,25-05-2024,,,40.7,1343000,0.8,2,189531
368802,63,,97989,4,,,230,14484401,418.71,,,,28-07-2024,,,27.1,1343000,0.7,2,166917
982093,20,,143930,1,,,282,93974308,39.11,,,,19-07-2024,,,36.3,2325500,0.9,3,164444
737131,49,,70211,6,,,478,1651097,47.85,,,,14-03-2024,,,6.1,8419000,0.7,2,147560
548670,70,,73484,5,,,458,2333057,113.69,,,,26-04-2024,,,29.1,2325500,0.7,2,140505
833749,56,,134112,2,,,215,48894660,105.31,,,,26-02-2024,,,1.6,1424000,1.5,3,162060
112294,49,,147555,3,,,172,99727621,384.52,,,,31-01-2025,,,5.6,1343000,0.7,4,121582
507735,37,,91698,5,,,120,18140114,19.41,,,,07-09-2024,,,4.9,2716000,0.8,6,149940
40265,64,,101682,5,,,58,58006854,36.63,,,,23-04-2024,,,25.1,950000,0.5,3,106803
351304,41,,122248,3,,,238,81522081,69.96,,,,01-09-2024,,,14,1343000,0.4,10,70072
582720,45,,97672,2,,,303,87916573,375.44,,,,20-06-2024,,,5.8,1547000,0.9,1,128843
384598,47,,82756,3,,,73,93788341,96.93,,,,24-08-2024,,,29.4,1547000,0.5,3,53518
738734,66,,88882,6,,,98,27521707,414.48,,,,07-06-2024,,,2.8,1547000,0.7,9,92203
628244,47,,90968,3,,,294,59718052,369.3,,,,25-11-2024,,,39.6,1680000,0.7,2,178666
749919,46,,80168,5,,,375,10304480,87.86,,,,12-07-2024,,,5.1,1547000,0.5,1,121542
860814,27,,67067,3,,,308,31238962,395.86,,,,04-12-2024,,,7.4,1343000,0.8,3,83567
361494,55,,86366,2,,,159,76813881,31.03,,,,03-08-2024,,,9.3,1547000,0.6,4,57915
250302,47,,102814,3,,,127,4788841,464.23,,,,25-04-2024,,,21,1547000,0.6,2,159456
550962,66,,137420,6,,,492,9319298,10.29,,,,04-10-2024,,,8.1,1343000,0.7,6,84476
757477,51,,111775,4,,,490,98988816,462.64,,,,05-05-2024,,,31.5,2325500,0.5,1,54052
558046,51,,149022,4,,,258,99328948,88.8,,,,03-07-2024,,,6.5,1547000,0.7,8,59054
464685,44,,55660,5,,,121,61400999,150.23,,,,29-10-2024,,,12.2,1547000,1.1,7,159128
293537,65,,38585,6,,,416,14940761,129.2,,,,07-01-2025,,,2.2,1584000,0.9,5,174837
286330,22,,93145,6,,,316,66867095,21.03,,,,28-12-2024,,,48.2,3971000,0.8,3,109886
635415,22,,94221,5,,,111,23443069,240.47,,,,20-12-2024,,,11.8,2325500,0.7,3,125102
420662,54,,141212,3,,,458,43765339,48.13,,,,03-12-2024,,,8.1,3971000,0.5,3,104830
545668,58,,104901,1,,,99,43442275,26.15,,,,06-07-2024,,,40.1,2716000,1.1,6,197764
367632,60,,92285,5,,,142,6847295,73.12,,,,11-03-2024,,,6.5,1584000,1.1,2,179015
814269,46,,20587,5,,,86,60425452,264.72,,,,05-08-2024,,,1.9,950000,0.8,10,144482
938991,52,,76921,5,,,215,59208887,78,,,,29-08-2024,,,9.1,2325500,1.1,5,163139
904624,27,,143777,3,,,443,63125796,375.93,,,,19-12-2024,,,4.7,2325500,0.9,6,82112
341871,56,,72609,4,,,111,14414436,423.2,,,,10-01-2025,,,1.2,1547000,0.5,1,76061
340985,47,,104275,3,,,150,92814968,389.58,,,,02-10-2024,,,45.5,950000,0.7,9,74214
501543,52,,101646,6,,,452,85879229,95.34,,,,03-04-2024,,,46.1,2716000,0.8,2,107841
977736,50,,76505,3,,,229,71801123,164.81,,,,14-11-2024,,,45.7,1584000,0.8,3,173403
848559,68,,107504,2,,,11,32390065,343.58,,,,03-06-2024,,,26.9,8419000,0.4,2,99232
779747,38,,51114,3,,,86,33486697,188.42,,,,04-06-2024,,,2,1424000,0.7,2,148594
726884,64,,31936,6,,,82,2274892,119.78,,,,11-07-2024,,,12.3,1424000,0.7,4,61093
228270,25,,88252,2,,,241,74734313,125.79,,,,27-12-2024,,,37.1,3971000,1.5,1,64687
258260,29,,97233,5,,,283,11638245,124.47,,,,14-01-2025,,,43.3,1584000,0.6,2,98996
187476,56,,98530,6,,,241,51036619,141.89,,,,18-06-2024,,,3.2,1547000,1.1,9,62298
513620,42,,81753,3,,,27,19433064,142.07,,,,22-09-2024,,,23.2,950000,1.1,6,131101
877657,40,,92263,6,,,112,4164722,110.76,,,,15-01-2025,,,2.2,1343000,0.7,3,197240
411682,70,,147945,5,,,240,66037530,59.1,,,,07-05-2024,,,2.4,2325500,0.9,8,146437
788822,18,,88333,6,,,430,89912804,33.37,,,,27-08-2024,,,28,3971000,0.4,1,148016
110623,68,,100192,6,,,441,30875871,233.01,,,,09-09-2024,,,9.7,1547000,0.7,8,86455
87924,68,,122018,5,,,110,67703311,117.67,,,,01-12-2024,,,5,950000,0.7,2,191394
924208,46,,139052,1,,,310,78184473,364.22,,,,28-09-2024,,,37.8,1547000,1.5,5,145753
745267,42,,112751,3,,,13,66161531,13.81,,,,07-05-2024,,,8.8,1424000,0.5,5,90890
932476,59,,90591,4,,,316,42916513,94.78,,,,07-09-2024,,,24.9,1343000,0.8,2,57305
187290,62,,129937,3,,,456,49072004,391.83,,,,22-08-2024,,,13.6,1547000,0.5,1,154668
269738,39,,114658,5,,,265,13927067,40.75,,,,04-11-2024,,,9.6,2716000,0.7,2,74731
486102,34,,21303,2,,,226,81668272,379.59,,,,03-08-2024,,,32.7,1547000,0.5,3,69314
693607,32,,85366,2,,,361,85639436,67.83,,,,21-06-2024,,,24.6,3971000,0.7,1,88880
982076,45,,102058,1,,,90,98979606,120.22,,,,16-01-2025,,,32,1547000,0.8,5,136557
725667,46,,26838,3,,,335,94975778,210.75,,,,25-03-2024,,,48.9,1547000,1.5,4,65918
447194,41,,89821,3,,,308,92641798,27.66,,,,21-10-2024,,,26.3,1343000,0.7,3,91192
156928,21,,43973,3,,,265,14538504,243.28,,,,26-01-2025,,,31,1547000,0.5,6,150560
395836,33,,147115,2,,,29,47686141,411.8,,,,14-07-2024,,,28.7,2716000,0.8,2,179916
629060,19,,27762,2,,,224,31820993,172.36,,,,09-06-2024,,,4.7,1424000,1.1,1,163954
104805,68,,58013,6,,,168,50270951,96.7,,,,08-01-2025,,,29.2,1343000,1.5,2,135610
925279,21,,87462,6,,,345,98379651,218.13,,,,14-01-2025,,,7.5,950000,0.7,1,120842
430277,34,,94086,1,,,105,39453831,356.9,,,,29-05-2024,,,16.4,1424000,0.8,1,147741
825078,40,,50872,3,,,399,1249046,277.99,,,,11-04-2024,,,16.4,1680000,0.7,2,127782
371858,45,,117322,4,,,458,49187761,68.7,,,,12-03-2024,,,4.6,2716000,0.7,1,169086
731763,57,,131727,2,,,155,84799130,318.16,,,,22-07-2024,,,6,1547000,0.5,10,129432
66242,47,,71390,1,,,429,53913400,70.2,,,,22-05-2024,,,33.2,3971000,0.9,5,165834
66627,64,,61909,1,,,360,36624269,71.5,,,,09-02-2024,,,2,8419000,0.4,1,77108
159945,28,,132410,6,,,220,47652092,249.32,,,,15-10-2024,,,49.8,1680000,1.1,3,100966
259402,36,,109210,4,,,318,95494038,135.45,,,,08-12-2024,,,28.4,1424000,0.7,2,62171
987818,41,,119810,2,,,160,80828158,419.73,,,,07-09-2024,,,9.7,1343000,0.9,7,194595
88165,54,,43969,3,,,1,75141223,430.57,,,,16-03-2024,,,6.1,1547000,1.1,6,83865
357955,60,,99210,6,,,282,19393279,70.09,,,,22-06-2024,,,1.6,1424000,0.8,2,58218
866597,27,,103200,3,,,13,6389341,318.8,,,,13-06-2024,,,6.9,1584000,0.7,3,124178
663935,19,,58070,1,,,143,67014376,135.78,,,,29-12-2024,,,11.5,8419000,1.1,1,117284
980418,26,,124222,5,,,194,69493482,329.67,,,,20-11-2024,,,31.8,1584000,0.4,1,52396
926668,34,,71922,1,,,482,11186274,26,,,,03-02-2024,,,7.7,1547000,1.5,1,130918
986508,23,,92864,5,,,175,19035397,336.84,,,,01-09-2024,,,46.8,3971000,0.7,2,111278
350898,27,,93490,3,,,336,68023782,281.85,,,,18-03-2024,,,28.1,1680000,0.4,8,148548
786151,47,,108554,6,,,463,3765216,285.56,,,,08-10-2024,,,31.6,1680000,0.7,1,72510
411068,70,,88482,1,,,490,56283322,29.41,,,,02-06-2024,,,43.3,1424000,1.1,9,173733
738105,25,,103753,5,,,305,60912689,278.18,,,,07-06-2024,,,13,1547000,0.7,1,169505
449111,41,,31630,1,,,296,77215741,236.19,,,,28-05-2024,,,5.2,1680000,0.6,9,56039
21933,43,,95766,3,,,404,71633327,37.43,,,,26-09-2024,,,3.8,2325500,0.4,2,107065
903979,38,,93453,2,,,2,13976171,239.35,,,,10-05-2024,,,25.3,2325500,0.4,2,136482
718689,54,,43355,5,,,491,82855500,328.04,,,,06-07-2024,,,22.2,1547000,0.8,6,92728
353956,23,,21230,5,,,353,35826987,365.54,,,,10-02-2024,,,43.6,2716000,0.7,3,113533
712421,36,,97606,1,,,368,44343028,304.42,,,,29-04-2024,,,37.3,3971000,0.8,10,81670
163484,38,,87661,3,,,131,89470316,377.29,,,,11-05-2024,,,28.3,2716000,1.5,2,103639
577467,34,,26756,3,,,285,22003748,30.25,,,,30-03-2024,,,1.1,1343000,0.7,3,136170
31015,25,,87097,3,,,147,61748877,460.81,,,,20-05-2024,,,30.8,1584000,0.6,3,63853
337994,42,,30350,3,,,400,70700486,52.03,,,,08-05-2024,,,5.8,950000,1.5,8,63643
811815,61,,83152,5,,,323,89427914,57.52,,,,07-01-2025,,,48.9,950000,1.5,3,193061
143758,41,,135237,3,,,45,30127188,318.02,,,,12-07-2024,,,8.9,2716000,0.7,4,179671
319146,46,,82515,3,,,145,22441848,237.58,,,,09-01-2025,,,37.7,1343000,0.9,5,111969
480924,19,,87933,6,,,472,57816212,305.5,,,,11-12-2024,,,9.4,2716000,0.7,6,136944
630695,18,,35301,6,,,372,73675153,479.71,,,,19-02-2024,,,20.6,950000,0.7,3,176819
989624,24,,73097,6,,,250,6867401,144.28,,,,27-08-2024,,,9.5,3971000,0.6,2,115950
993643,43,,77412,6,,,271,70289716,350.57,,,,30-08-2024,,,8.1,2716000,0.8,7,153680
742968,63,,69775,3,,,181,30345098,381.8,,,,06-09-2024,,,7.1,1343000,0.5,3,122281
63681,32,,103476,5,,,272,16449480,473.33,,,,11-06-2024,,,37.9,8419000,0.8,3,124366
110247,23,,96912,3,,,29,27664943,202.44,,,,27-03-2024,,,2.7,2325500,0.8,1,166944
208311,57,,31516,3,,,291,31527704,180.88,,,,28-06-2024,,,1.2,2716000,1.5,3,79243
113987,22,,97422,4,,,157,75880994,170.64,,,,12-03-2024,,,9,8419000,0.6,8,104660
288038,41,,38693,3,,,241,79872363,21.18,,,,16-04-2024,,,5.1,1584000,1.1,1,58271
674600,49,,129541,3,,,242,98147855,101.94,,,,26-08-2024,,,39.2,8419000,0.6,1,191915
421457,19,,88887,3,,,361,30887972,476.82,,,,26-01-2025,,,7.3,1343000,1.5,10,132079
500381,63,,78100,6,,,45,70213289,201.65,,,,17-03-2024,,,3.2,1343000,0.7,3,131690
697831,48,,83171,3,,,249,79985582,135.47,,,,08-01-2025,,,15,1547000,0.7,4,133136
791769,27,,140090,5,,,63,60811764,392.23,,,,15-12-2024,,,12.8,1547000,0.7,3,146720
264443,57,,83472,4,,,380,14921486,319.93,,,,03-06-2024,,,40.2,1584000,0.7,4,73574
47872,37,,92259,6,,,84,95913995,394.71,,,,07-06-2024,,,2.7,2325500,0.8,5,193289
512774,18,,99541,3,,,331,42011283,442.48,,,,31-10-2024,,,9.8,1680000,0.7,3,164958
661127,57,,110514,3,,,373,67539452,444.69,,,,17-08-2024,,,7.7,1584000,0.9,3,135811
225853,48,,149148,3,,,293,17284046,25.83,,,,29-06-2024,,,14.9,8419000,0.7,2,94206
760862,20,,84484,6,,,292,26778547,46.2,,,,04-09-2024,,,4.3,2325500,0.7,2,142110
617615,30,,125928,5,,,37,6081289,127.15,,,,03-02-2024,,,44.2,3971000,0.7,2,153475
921233,69,,62863,2,,,363,19867883,102.8,,,,30-01-2025,,,35.7,2716000,0.9,6,183801
560067,22,,130058,5,,,199,35476742,278.9,,,,04-02-2024,,,10.7,1547000,0.8,1,54634
106620,21,,127837,3,,,455,81735728,250.1,,,,17-06-2024,,,1.9,2325500,0.8,10,176375
413455,45,,50113,1,,,129,92645146,354.56,,,,05-03-2024,,,49.6,1547000,0.7,1,190147
495171,57,,94531,4,,,62,12487700,58.05,,,,11-08-2024,,,9.5,2325500,0.5,2,85885
396163,46,,113372,3,,,312,80591220,361.88,,,,01-08-2024,,,44.1,2325500,0.9,2,185333
279071,55,,103180,6,,,27,93557532,433.59,,,,08-05-2024,,,5.4,1424000,0.4,8,164089
864634,28,,139245,6,,,86,27809358,141.34,,,,23-01-2025,,,19.2,1680000,0.7,3,186439
165076,66,,109093,3,,,360,29034619,131.92,,,,14-06-2024,,,23.2,3971000,0.4,3,116193
596081,18,,87473,2,,,156,42451291,446.56,,,,07-02-2024,,,9.2,1584000,0.8,3,196371
72498,65,,27784,4,,,120,39811222,346.87,,,,25-10-2024,,,1.7,950000,0.5,4,153658
282653,70,,128218,2,,,135,42153754,488.79,,,,29-08-2024,,,8.8,950000,1.1,1,116374
160999,23,,105904,4,,,397,24434543,233.36,,,,08-12-2024,,,10.1,2325500,1.1,3,136473
435902,68,,109678,4,,,77,31691820,26.01,,,,31-03-2024,,,15.5,1547000,0.9,1,162379
819641,43,,133223,3,,,187,39268673,160.26,,,,07-04-2024,,,37.5,1680000,0.7,2,123147
134453,70,,89353,1,,,181,37571033,396.85,,,,18-01-2025,,,43.3,1343000,0.6,1,118775
968503,66,,149222,1,,,118,54888158,122.62,,,,23-10-2024,,,4.3,1547000,0.6,10,78781
338773,43,,88135,6,,,52,57600202,315.99,,,,28-09-2024,,,27.3,1343000,1.1,3,171803
866258,32,,137076,1,,,227,32109312,259.54,,,,31-07-2024,,,2.2,1680000,1.5,6,169861
404375,59,,132556,5,,,158,32470743,82.43,,,,25-11-2024,,,3.3,950000,1.1,3,58892
227734,44,,124778,4,,,253,67256315,320.5,,,,29-08-2024,,,5.9,1343000,0.8,8,53033
736049,43,,70474,1,,,290,60924112,276.24,,,,07-09-2024,,,16.2,1424000,0.7,3,174857
260191,58,,92929,3,,,459,33743349,55.88,,,,20-05-2024,,,11.9,1584000,1.5,10,193387
433227,23,,80821,6,,,243,14243423,302.08,,,,12-02-2024,,,6.2,3971000,0.7,1,147516
19579,31,,111410,3,,,276,38405288,177.75,,,,12-10-2024,,,5.7,1343000,0.5,8,196433
803388,59,,140917,5,,,47,64494291,68.34,,,,26-06-2024,,,38,950000,0.9,3,174812
371646,54,,107265,2,,,453,51424183,306.05,,,,20-02-2024,,,5.1,1680000,0.4,2,127419
